source_text,target_text,predicted,original
"review #100! had this saved for 7 months. had had it on tap a bit before that and it knocked me out with richness and subtlety. this is fine but not aspanormaic. roma of roasted malt, sponge cake, caramel, cold coffee. opaque black with a modest dark head. silky and light int he mouth, graceful flavors of chocolate, coffee. alcohol, licorice. schizoid finish of high and low notes.",Positive,Positive,Positive
"lemony, yeasty, slightly chalky, and with a little hint of rubber. very fruity, and a little acidic spice is here. not my favorite style, but one of the better ones i ve had of the style.",Positive,Positive,Positive
"looks like lemonade kinda. it is pretty good, smooth, slightly thin, for being mass produced this is good stuff.",Negative,Negative,Negative
"50cl brown bottle, as shown. pours a hazy, pale yellow golden with a big, fluffy white head that collapses quickly. aroma of banana, citrus and herbal spices. active carbonation, medium-bodied weizen. good mouthfeel. taste is dominated by sweet banana, very typical for a bavarian hefe. a healthy citrus note prevents this brew from being cloying. spicy, dry finish and herbal after taste. one of the signature mainstream hefe beers from down under very well balanced, at once, supremely quaffable and quite characterful. if this kind of weizen is too banana-ish for you, try the belgian variety like hoegaarden - their beers are usually drier and more citrusy. otherwise, franziskaner is one of the best!",Positive,Positive,Positive
very pale off-clear beer. fast-fading white head. aroma is of dirty dishwater and the flavour is completely non-existant. what a waste of bottles.,Negative,Negative,Negative
"slight hazy yellow and nice white head. very fresh taste of lemon, orange, hay and slightly spiced. good balance and nice acidity. one of the best hefe weissbier on bottle.",Positive,Positive,Positive
"i ve got to find time to rate beers like this more often. it s only fair. folks will begin thinking it s beneath me to drink this swill. i always tell themif you offer it i ll more than likely drink it. geez, where to begin with this. yep, pours a lovely light yellow from the can, full of bubbles trying to form a head, but alas they fail miserably. well, we ve established it ain t much to look atso how does it smell, and how does it taste? light corn, malts, and canned funk hit the nose. no big surprise. what little flavor there exists is backed by lotsa carbonated metallic bite. blame the can if you must, but i the bottled version isn t much better. finish offers up a nice skunky hopless stale malt belch--whew, i needed that. i spent many a day and night pounding this stuffonly time will tell just how much irreparable harm i ve caused my digestive tract.",Negative,Negative,Negative
"not too bad, by far the best anheuser brewery product. looks pretty weak though, a high yellow piss color.",Negative,Negative,Negative
"bottle. beautiful black pour with full and frothy tan head. aroma is rich of chocolate syrup and roasted malt. flavor is loaded with dark chocolate complemented by an awesome roasty, nuttiness and caramel. silky and full body with potent roasted malt goodness. i m not getting coffee at all, surprisingly. not the depth i was expecting, but its simplicity is still excellent.",Positive,Positive,Positive
this is the best beer that i have found that is available almost anywhere and has a twist off cap. cascade hops experience for the masses. pours a nice amber with minimal head. maltiness balances extermely well with hops for a change of pace for something you can find in most places that are worth their salt.,Positive,Positive,Positive
"i m gonna have to go against the grain on this one . i have tried this on more than one occasion and just do not like it. the flavour is both hoppy and malty, but somehow yuppy. i mean, i feel like a yuppy drinking it. not only is appearance-wise totally not my style, but taste-wise as well. pale ales i don t dig so much. in this style, i prefer the flavour of sweetwater 420. frankly, i m surprised sierra nevada pale ale gets such a high rating - and a little puzzled. i don t understand it. this kind of thing just isn t my bag.",Negative,Negative,Negative
"aroma is sulfury with some grain. the color is a pale yellow with a fizzy, short lasting white head. grainy flavor with no malt or hop. weak finish on the palate with a watery feel.",Negative,Negative,Negative
"malty caramel aroma, super dark and thick in appearance, the taste is full of bitter hops with a sweet background, and the beer is medium to full body with a lingering bitter finish. updated chocolate and dark fruit nose, bitter hop front velvety coffee to chocolate middle, almost rye finish. like.",Positive,Positive,Positive
"bottle 33cl. pale and murky golden beer with a creamy and persistent head os good lacing. aroma to citrus, fruits, coriander, fresh malts. medium sweetness taste, citrus with some hints of coriander. on palate results a beer with creamy texture, carbonation is lively, refreshing final.",Positive,Positive,Positive
"bottled. a golden beer with a yellowish head. the aroma has notes of straw, malt, and corn. the flavor is sweet is with notes of malt, straw, and corn, leading to a dry finish.",Positive,Positive,Positive
"bottled 2 11 16, 355 ml. 12.4 abv. pours black with a decent light-brown head. aroma coffee , licorice sweets. dark chocolate. taste mocha, dark chocolate. touch of vanilla and bourbon. moderately sweet, balanced roasted bitterness. white chocolate, too. complex. palate full body, creamy. fulfilling brew. extremely pleasant. lovely roasted tones. well balanced. favourites. ----- tap@hbf. pours black with a nice light-brown head. aroma chocolate. taste medium sweet, pleasant balanced bitterness. like condensed kinder chocolate. palate full body. extremely well balanced treat.",Positive,Positive,Positive
from a bottle. not anywhere near as bad as i d expected but that s probably due to really low expectations. had worse.,Negative,Negative,Negative
"this is a pale ale that all other american pales seem to be compared to , and rightfully so. nice color, great hoppy aroma, and well balanced hop filled flavor make this one of the nation s best.",Positive,Positive,Positive
"bottle. interesting. in every sense this beer reminds me of red stripe. sweet, silky caramel-like aftertaste. not bad. much better than the regular heineken sewage. goes down nicely with none of that skunkiness you d expect from a heineken product.",Negative,Negative,Negative
bottle shared with work colleagues. thick viscous caramel brown ruby red colour pour with a dark tan loose head that fades quickly to a halo. aroma is choc roast booze. as the beer opens up i get more sweet brown sugar a belgian dried fruits. palate is thick full bodied and velvet. flavour is bold choc caramel warming alcohol. finish is bitter roast that mellows as the beer opens up. the next bottle i get im not going to be as generous.,Positive,Positive,Positive
"0.33 l bottle. golden color with a small head, malty nose.good carbonation and balanced bitterness with a malty flavour. some dry and hoply aftertaste, good,drinkable beer.",Positive,Positive,Positive
"this is just a great overall brew. the hops are pleasant and fruity, and the beer is pretty balanced overall. it pours a nice deep gold with a lasting, offwhite head.",Positive,Positive,Positive
"tap. dense tan head on an almost black body. faint aroma of roasted malt and licorice, a bit vegetal. dry, lightly bitter. slick, watery body with super-soft carbonation. was way better when it was the only stout i ever had.",Positive,Positive,Positive
"33 cl, bottle. pours hazy straw with a thin white head. dominated by clove-like spiciness and banana. taste is gently sweet with low bitterness. carbonation is high and the body is low to medium.",Positive,Positive,Positive
"pours a hazy orange color, topped by a thick off white head. aromas of clove, banana, and citrus waft from my glass. the taste is tar, acidic, and it has a soft banana finish. this beer is well carbonated, which contributes to a tingly sharp sensation in my mouth. this is quite good, and quite refreshing. certainly not the most complex, but it is quite tasty and hits the spot perfectly on a warm day spent outside brewing beer. quite fruity, with a bit of sweetness. this beer is light bodied, which helps it to go down easily. this is as good as it gets for warm weather in the sun drinking smooth and thirst quenching.",Positive,Positive,Positive
you bunch of beer snobs. when you are hot and thirsty nothing is better than a bottle of cold bud. get your head out of your microbrew butts and remember what you wished you could have been drinking in your youth- pabst blue ribbon boy!,Negative,Negative,Negative
"cloudy amber with a nice thick fluffy head. i love the banana notes and wheaty flavors. despite my lingering cold, the taste still shines through.",Positive,Positive,Positive
fair beer. probably much better out of the tap than after an atlantic voyage and who know how long warehoused and stored. slightly more orange than the typical american pilsener. flavor is grassy. nice malt start and hop finish.,Negative,Positive,Negative
"bottle. pours very dark brown with an off-white head that lasts and leaves a good amount of lacing. aroma isn t very strong but does contain brown sugar, sweet malt and dark chocolate. flavour is fairly similar but the chocolate is more milky than cocoa and there is a bit more spice without the whole being too sweet. overall not a good representation of a dubbel but a fine beer in itself and more than appealing to my palate.",Positive,Positive,Positive
"thin body, yellow with white head. some aroma of corn, wheat. flavor is slightly sweet and better. watery lager.",Negative,Negative,Negative
"one of my favorites-solid in every way-pours light cloudy amber with small head-aroma is heavy wheaty banana with clove and spice background, epitome of a hefe beer. flavor backs up aroma but also has a more cereal wheat flavor and yeasty prescence very fruity and wheaty with a nice carbonation twinge throughout. palate is creamy with a wheat with ripe banana aftertaste. solid.",Positive,Positive,Positive
mwbf 2002 very very very pale. . smells like sewer. tastes like soda water with a chemical presence. bad bad bad. likely the worst beer ever.,Negative,Negative,Negative
"tastes like strong black coffee, or maybe the way coffee grounds smell. the coffee is pretty overpowering. doesn t have the coffee texture though. good beer.",Positive,Positive,Positive
"pours black with a thin caramel head that leaves very little lacing in the glass. aroma is a tad sweet with notes of dark chocolate and malt. medium carbonation in the mouth but the taste s fabulous, with a bit of chocolate, roasted malt and coffee. this is so good!",Positive,Positive,Positive
"on tap. cloudy amber colour, medium beige head. aroma of wheat and sour cherries, lemons, yeast. taste has a clear sour tone lemon juice, wheat, banana",Positive,Positive,Positive
this beer poured a large white frothy head with small bubbles that fully diminished. there was a lot of fizzy carbonation in this beer. the body was clear and the hue was pale yellow. the aroma was skunky and there was virtually no flavor to this beer. the mouthfeel was very watery and thin.,Negative,Negative,Negative
"golden colour with a lasting head. aroma and taste of sweet grains, but the mettalic tones is to noiticeable. not much to say about this one. its very bad, even for a mass produced pale lager.",Negative,Negative,Negative
"this is one of my fav s when it comes to national brands. it is a great strong tasting beer and very hoppy,",Negative,Positive,Negative
"this one is as expected a light but somehow refreshing beer. metallic scents and flavors aside, the corn and straw elements somehow create a tolerable brew. very drinkable, but very light and dry overall.",Positive,Negative,Positive
"pleasant malty sweet aroma, weak body -- think carbonated water sweetened with malt and a trace of hops, and you ve probably got a pretty good idea of this beer.",Negative,Negative,Negative
"bottle. medium high and lasting brown creamy head. as expected the body is indeed pitch black. the first that hits the nose is alcohol followed by roasted malts and choccolate. the flavor is quite clearly of roasted malts coffee and choccolate whereas the expected liquorice is just hinted. the beer is relatively bitter and not as sweet as feared. as the combination of roasted malts, coffee and bitterness is rather heavy the alcohol is nicely subdued. low carbonation. long bitter and dry finish.",Neutral,Positive,Neutral
"picked up a 4-pack last month. last one so i should review it. 12oz 2012 vintage pours a nice roasted dark black. decent coffee colored head. smells of almonds, milk chocolate and a touch of coffee. taste is decent. nice carbonation, nice balance of sweet birch syrup and coffee with a hint of cocoa. some vanilla",Positive,Positive,Positive
"well-carbonated, refreshing, and citrusy wheat beer that lacks the creamy body of the top exemplars of the style. the orange and coriander aftertaste is satisfying enough. if the palate were a bit creamier this would go from very good to great.",Positive,Positive,Positive
"rating is based on two separate tastings - one bottle and one draft. yellow bubbly soda appearance. mild urine aroma. very sweet taste with a hint of banana? heavily carbonated, but essentially just coloured water. not adventurous enough to even qualify as bad just super low on flavour and character. i can see why people drink it, but not why beer drinkers do.",Negative,Negative,Negative
"pours a cloudy golden yellow orange color with huge foamy white head. aroma of yeast, orange and lemon. very smooth drinkable beer with a nice citurs flavor. pretty highly carbonated with hints of lemon and orange peel. very crisp with a slight sour aftertaste.",Positive,Positive,Positive
"the aroma is malty and herbal, rather smooth, with shades of grain and grasses the taste is clear and refreshening, malty, with notes of herbs, grain and candy hopping is very light bitter and dry aftertaste",Positive,Positive,Positive
"average dunkelweisen. sweet malt, raisins, dates. no trace of hops. quite light.",Positive,Positive,Positive
"this beer is much sweeter than i expected. it is light and drinkable, but the taste is too sweet and weak.",Negative,Negative,Negative
"oh my godthis is what it s all about. hard to express how unbelievably easily this beer goes down. little to no aftertaseperiod. cloudy body because of its unfiltered state adds to the intrigue. they say, per capita, belgium is the world s most unique and varied producerwith a beer like this, it s not hard to see why. do try this one.",Negative,Negative,Negative
"pours black with deep, rich head . aroma is caramel, with a hint of roast. taste is thick caramel with a hint of sweet coffee. finish is creamy and smooth. and old standby that maintains with longevity.",Positive,Positive,Positive
"bottle @ liquor barn danville ky --- aroma of fruity malt and hops. cloudy dirty medium amber, off-white head, stringers of lace. taste is malt and light fruit, medium fizz, and light hops in a short finish. agreeable, light brew.",Positive,Positive,Positive
"i could get derogatory and vulgar, but there is no point. i only rated this one because my ratings average got too high.",Negative,Negative,Negative
"bottle - pours dark brown with a substantial head. the aroma is wheat and bananas. the malt rich flavor has banana notes and seems a little light bland for the style. medium bodied and lively on the palate, it finishes mildly sweet.",Positive,Positive,Positive
pours a light golden colour. crisp and clear. slight spice taste. refreshing on a hot day. available everywhere.,Positive,Positive,Positive
"nice wheat here. smooth simple, easy to drink. not kick you in your face but good with a meal.",Positive,Positive,Positive
"pours cloudy orange with two fingers of fluffy white head. smells citrusy, and a little malty. tastes wheat, slight orange peels and faintly of bananas. medium-bodied, creamy texture and mild mouth-carbonation, paulaner natural wheat hefe-weizen finishes sweet and citrusy.",Positive,Positive,Positive
"i like this. this beer is clean, very drinkable and most of all very refreshing. would make a great session beer. this in fact is one of those rare beers that can be enjoyed straight from the bottle. a perfect summer-time thirst quencher. i can see why the japanese are so fond of this one.",Positive,Positive,Positive
"near perfection, clean tasting and fullfilling. a variety of flavors for the palate to sift through. world class.",Positive,Positive,Positive
"crisp hoppy aroma. some notes of caramel. decent head. not much flavour, perhaps some sugar.",Positive,Positive,Positive
"taste super clean. one of the best hefeweizens ive had. no gummyness or starchy flavor, just good, clean, refreshing, beer flavor",Positive,Positive,Positive
"on tap at schneider at tal in munich makes all the difference! wonderful apricot and tropical fruit aroma. hazy amber with abundant head that lingers. taste of orange rind, spice, malt, wheat. perfect palate. dry finish. i lowered the score a bit because of previous experiences but on this day it was perfect!",Positive,Positive,Positive
"pours a pale yellow color with a large white foamy head that is easily aggrevated. nose is yeasty, clove, corriander, other spices, orange peel citrus. initial taste of clove and corriander, moving into wheat and spices. finishing is crisp and refreshing but too light and flavor qualities fade quick. palate duration is average. better than some belgian whits that i have had but this is no prize itself. above average head retention. extremely light bodied.",Positive,Positive,Positive
"bottle, pours a pale yellow with very little head and lots of carbonation. smells of corn, metallic hops and the typical lager skunk aroma. flavor is of grains and hops, and it comes off slightly sweet and watery. not bad, decent aftertaste, but nothing special and definitely overpriced.",Negative,Negative,Negative
"bottle. golden with minimal head. if you took a bud light and mixed it half and half with water, you d have something like this. apparently you can dilute a watery beer with more water.",Negative,Negative,Negative
"horrible watered down corona, even the color looked liked it was recycled. blah",Negative,Negative,Negative
"500 ml bottle from a local hawker centre. pours a brown with a fair bit of white head in a hefeweizen glass aroma of slight roasted malts and very slight noble hops taste of slight roasted malts, chocolate. high carbonation is just right for a hefeweizen. well balanced but not much taste to be fair. definitely a beer for session drinking",Positive,Positive,Positive
"is the standard by which stouts are measured, but it is not the be all end all.",Positive,Positive,Positive
"ruby-brown colour, chaotic foam, bready and malty nose, banana and alcohol, tart and slightly acidic, lot of carbonation, very bitter, long pruny and alcohol finish - heavy and quite cloying",Positive,Positive,Positive
"snifter pour of dark thin liquid, full finger khaki head. nose holds lots of bitterness, malts and coffee, fairly roasted. flavors follow, with plenty of bitter coffee and roasted malts. not bad, but nothing spectacular. quite drinkable, and enjoyable.",Positive,Positive,Positive
a thin tasteless soup without any traces of aroma or bitterness. an all through disappointing brew. why does anyone pay for this?,Negative,Negative,Negative
"appearance very dark brown, with a slight fogginess murkiness. the head is a work of art, with amazingly consistent tiny beige bubbles, almost all the exact same size. close to perfect in appearance, but let down by the lack of clarity and some small particulate matter. aroma sweet dark fruits initially, mixed with some sweet malt and honey. slight unfermented wort aroma appears, and some caramelised sticky-bun type notes. taste there was a lot going on here. the same dark fruit in the aroma, but the taste is almost as if they were stewed and candied. very smooth malt and caramel, with rich juicy port torquay aspects as well. honey, brandy, grape skins, and a herbal aspect in the aftertaste. warmth from the alcohol helps boost the aftertaste, and helps offset the sweetness. well balanced bitterness. mouthfeel medium-full body with medium-low carbonation. thick and rich, but never heavy. if i had to pick any flaw, maybe a little astringent and a little too dry. overall this is probably the best beer that i have had in a long, long time. it is extremely satisfying, amazingly balanced, and just so drinkable. it is something that can truly be appreciated sip-by-sip, like a fine wine or liqueur. i am interested in seeing how this one does with some age on it.",Positive,Positive,Positive
"bottle shared from abc beers. pours hazy orange with a small off white head. aroma of grass, grapefruit, citrus, cloves. flavour is moderate sweet and bitter. medium bodied with soft carbonation.",Positive,Positive,Positive
12 oz can and bottle. my favorite beer for many years. awesome water like qualities. actually i think water would be insulted. but thanks cbc for another tick.,Negative,Negative,Negative
"clear gold, strong white head. maltiness and saaz hop on the nose. lovely. sweet, malty body with notes of bitter and a distinct hoppiness. the pilsner of pilsners indeed!",Positive,Positive,Positive
"i ve had this several times and never been impressed. nice appearance, creamy head. the aroma and flavor are just unimpressive though. thin, diacetyl, bitter chocolate and coffee, just not very good.",Positive,Positive,Positive
"aroma relatively light combination of hops and sweet malt--but nothing remarkableappearance fairly standard pale-gold--head light but acceptable. flavor reveals both decent hop bitterness and some underlying malt, which shows up in the body more than, say, beck s. finish is pretty much a a continuation of the main body--no hidden mysteries herethis is perfectly ok stuff--but falls about in the middle of the field of macro-import lagers",Neutral,Neutral,Neutral
"boring. this is like japanese corona, only without any lime. no hops, little head, bland taste, and lacking carbonation.",Negative,Negative,Negative
"cloudy amber body with a large off-white frothy head that recedes pretty quickly. wheat sweetness with a fair share of banana, a bit of clove and maybe a little pear. earthy yeast character and loads of banana on the tastebuds. the mouthfeel of this beer is absolutely perfect. super smooth and creamy with a clean finish. this is one that i ll be sure to come back to again and again.",Positive,Positive,Positive
at 98 cents for a 32oz can how can you go wrong? this is how! it only gets points for the looks of crusher can. i like how companies will opt for this very aggressive look. anyways its pretty nasty stuff. like a bud ice but with slightly more alcohol.,Negative,Negative,Negative
very enjoyable beer. affordable also for the quality.,Positive,Positive,Positive
"sort of expensive for the taste it has. more like bottled water than beer, has a sweet taste. overall its sort of a bland beer, i can t even describe it and i even have one here with me.",Negative,Negative,Negative
nostalgia reviewback when this was brewed by schlitz it was a good lower cost beer with all the good qualities of it s big brother. i have enjoyed many a six pack of o.m. while holding a fishing pole and sitting in a boat. great combo.,Negative,Negative,Negative
"an average pale ale, deep amber color, white head, full bodied, could drink every day!",Positive,Positive,Positive
"chilly weather put me in the mood to not wait any longer. mighty chocolaty, but in an awesomely good way. just blends with all the richness - is sweet, but the sweet is not too intense and blends with the bitterness - just a supremely cohesive beer that i drained all too quickly. i did want to savor it,but alas",Positive,Positive,Positive
"reviewed 8 22 2009 pours an opaque orange colored body with a small foamy white head, diminishing. strong spicy and banana aroma. alcoholy. lemony aroma. spicy taste, very strong. creamy mouthfeel. lemony, citrus taste. some banana but not too strong.not too shabby.",Positive,Positive,Positive
"black color with a tan head. aroma of bourbon, coffee, wood, chocolate, and roasted malts. needs to warm. flavor of coffee, chocolate, roasted malts and a fine bourbon finish. easily one of the best ever.",Positive,Positive,Positive
"pours black with large thick brown head that lasts. nose has licorice, notes of dark chocolate, there is some definite pine hops also coming from this stout. very creamy mouth-feel, medium to heavy body, not as oily as some other examples in this category. tingles on the tongue. huge malt flavor, anise, good amount of bittering hops. really great beer, perfect example of an impy stout.",Positive,Positive,Positive
"very grassy and floral aroma, fresh hops. pours clear golden liquid with a large bubbly white head. medium bitterness, flavour of grassy hops and hay that vanishes quickly, watery finish. medium body, slick texture, not too fizzy in the mouth. the palate allows for the beer to be very drinkable. overall this is an okay lager, not much flavour, but the flavour that it has is nice and it s very drinkable and refreshing.",Positive,Positive,Positive
"feb, 2003 the franziskaner brewery can trace its roots back to 1363, over a 100 years before columbus bumped into a large rock he called america. that s a long time. a very long time. weisbeer has been produced in germany since 1520, despite breaking the purity law. that s only 28 years after the discovery of america. that s also a very long time. gee. what else can i say? 2.0 may, 2015 500ml dark bottle, unfiltered, from tesco. a pleasant enough drinking beer. quite refreshing. mildly antiseptic aroma. sort of washed out flavour, quite dry. like sucking on a week old pre-squeezed lemon. feels like it s missing something - a slice of lime or lemon would be good. and perhaps half a spoon of sugar. might make a half decent shandy. drinkable and inoffensive, but too lacking for me. 2.4",Negative,Negative,Negative
"bottle @ home into a paulaner weissbier glass. cloudy, a touch brownish, colorful orange appearance with a big white head tinged with orange. big, clove phenols, banana, moderate citrusy fruity esters, fairly spicy yeasty, sweet wheat malty, mild bubblegum aroma. fairly spicy yeasty, big clove, moderate banana, orange, lemon, bubblegum, sweet wheat malty flavor. somewhat citrusy, spicy yeasty aftertaste. probably my second all-time favorite weissbier only surpassed by weihenstephaner s offering. i never tire of having a ma or five ma of this.",Positive,Positive,Positive
"from a bottle with the widget poured a dark black, creamy white head. the aroma was roasted, actually burnt, slight bitter chocolate. the flavor was roasty, some bitter chocolate, but quite dry. the finish was roasty, and some noble hops. decent, not exceptional. too thin for a stout.",Positive,Positive,Positive
bottle smells skunked. even when fresh it has that bitter smell to it. very watery and thin. has a sour bitter malty taste. nothing special.,Negative,Negative,Negative
on tap at maynards. these type of beers always have that off copper aftertaste. pretty easy to drink but there are better macros that are less expensive.,Positive,Positive,Positive
"my 500ml bottle was best before 22nd may 2008, i drank it on a wet and cold november night in 2007. poured into one of my franziskaner weissbier glasses . looks great, orangey coloured cloudy body, huge head, bubbles arising, just like a good hefeweiss should. the aroma is also huge, vanilla, bananas and toffee apples, very impressive. the taste is full of different flavours all trying to get out, with the same three as the smell winning the battle. vanilla ice cream and banoffi pie but without the sweetness the idea suggests. the mouthfeel is full and lingers, this is a well crafted beer. a truely good beer.",Positive,Positive,Positive
major corn rice flavor and aroma. medium clear yellow color with a dry finish. better than some other pale lagers but not many. extremely watery.,Negative,Negative,Negative
hazy amber color with a small white head. aroma of caramel malt and floral hops. sweet caramel flavor with some light hopping in the end.,Positive,Positive,Positive
"on can @ il culto di ninkasi and on tap at toppling goliath. golden hazy with fine persistent white head. fruity aroma of mango, papaya and citrus. medium body and perfectly balanced bitter makes it really easy to drink.",Positive,Positive,Positive
0.33l bottle. golden color with small with white head that last more than average bear. aroma of lemon with light sweet and bitter finish.,Positive,Positive,Positive
poured with some head and lace. head mostly fades. very pale yellow. light bitter beer nose. very carbonated. too much in fact. sweeter than it smells. thin. forgetful. got it at a nearby quick mart in a 640 ml bottle that i m trying in my hotel room in shanghai now. which it was a smaller bottle.,Negative,Negative,Negative
"looks fantastic, easily the best thing about this. everything else was pretty average, the only thing i could taste were roasted malts, and it was pretty thin. probably the least flavour you could get for an actual stout, very uninteresting. still it s not completely bland ala lager and it s easy to down, so there you go.",Negative,Negative,Negative
"hay malts up front, floral, grass, citrus hops on the back end. pretty strong aroma, very nice stuff",Positive,Positive,Positive
"bottle 330ml @ china house, odda pours clear pale yellow with almost no head. aroma has notes of malt, rice and hay. taste is light sweet and light bitter. body is light, texture is thin, carbonation is soft.",Positive,Negative,Positive
bottle tasted it at many restaurants. not that great taste a little watery no aftertaste.,Negative,Negative,Negative
"i find it surprising that words like crisp or refreshing are used to describe beer like this. i find this beer tepid and sickly, it really smells and tastes like nothing and can t be construed as pleasant in any way. i m too afraid too taste bud light.",Negative,Negative,Negative
tastes like a a melted smores dipped into bourbon and then liquefied. only bad i encountered was running out of them. ---rated via beer buddy for android,Positive,Negative,Positive
"this is a nasty beer, it is a bubbly mass of foul tasting yellow beer water, its only claim to fame is that it is a light beer for poor fat guys with no taste buds!",Negative,Negative,Negative
i drank this beer once and i will never again. its a pity the ratings on the site can t go into negative numbers. busch light is the worst beer of all time. you re better off drinking tap water.,Negative,Negative,Negative
"12oz bottle with a couple bros of mine on thanksgiving. this is uber. this owns heinken, maybe better than becks. i hope to see more of this in the future.",Negative,Negative,Negative
"wow another good beer from them, taste sweet with not alot of hops looks great goes down smooth even with a burnt mouth",Positive,Positive,Positive
"bad, quite bad, but it really doesn t taste like much of anything other than slightly tainted water, so i will give it a higher score than the beast. definitely a fratboy beer.",Negative,Negative,Negative
"all around light beer. a bit of a pungent taste. carbonated, a bit too fizzy for me. but nice to have on a warm day.",Positive,Positive,Positive
"bottle. pours a hazy golden with a white head. aroma and flavor of banana, spices and some yeasty notes.",Positive,Positive,Positive
"bought this for college night. 1 beers. smells like corn, sweet and sugary. that hurts the nose. looks like urine a day after heavy drinking. tastes completely awful. the general sourness, the evil coating of the tongue. i have to pour the rest out. i cannot drink it. and worst of all the colors on the can are god awful.",Negative,Negative,Negative
"half in craft beer co. should have got a pint but i m aiming to put a few away today and i ve got some strong ones coming up. anyway, excellent imperial stout - coffee, cola, burnt chips etc. i think i prefer the ten fidy better but this is superb.",Positive,Positive,Positive
mildly sweet aroma with a thick white head. the color is a cloudy yellow-orange that is normally associated with hefe-beers. the sweet aroma continues to the taste which adds a bit of fruit. not bad at all.,Positive,Positive,Positive
"it says you must love coffee to fully emjoy which i believe. not a big coffee fan, but there are amazing notes of milky and chocolate goodness. truly a well crafted brew, very dark and brownish tan head. ---rated via beer buddy for iphone",Positive,Positive,Positive
"had to have this from the bottle as was on a walk at the time. aroma is hoppy and slightly citrus. taste is domminated by grapefruit, but in a particularly good, way. we dont get many pale ales over here, well american one s anyway, but this was really nice, would like to try some more.",Positive,Positive,Positive
this is undoubtedly one of the worst brands of cat piss i ve ever consumed. i m not even very picky. i can drink coors light which is damned by everyone i ve ever talked to but this,Negative,Negative,Negative
"type 11.2-oz. bottle glass clear 15.25-oz. pilsner from left over from the in-laws price n a purchased n a received march 12, 2017 consumed march 14, 2017 reviewed as euro pale lager misc. bottled on july 9, 2016 can t believe i ve never had one of these beers. the gellar s left them at a recent birthday for my daughter and i hadn t reviewed it yet, so i went after it. not expecting much at all. would be surprised with something over a 3.00. poured a light yellow clear color with 2-to-3 fingers of frothy white head. lots of bubbles coming up from the bottom of the glass. below average watery lacing. average retention. smelled skunk, fresh cut grass, corn cereal, earthy musty basement notes, some herbal vegetables, hay and brown bread. i shouldn t have liked this, but it actually had me wanting to try it. it had those pilsner notes that i love. taste was not quite as good as the smell. definitely tasting more macro than the smell. better than the generic american adjunct lager though. got skunky herbal, wet grass, musty basement, spoiled red apples, corn, hay and bready notes. light body. thin texture. lively carbonation. abrupt finish. not as bad as i thought it would be. i could definitely slam some of these down in a night. i probably undervalued this one. 3.08 71 c",Negative,Negative,Negative
"pours dark brown with a reddish tint around the edges. medium beige head with fair retention. stringy lacing. light roasted malt and bread in the nose, with touches of fruit. medium smooth body with sweet caramel malt flavor along with dry fruit and rye. the finish is short and fruity with a lingering sweetness. solidly average dunkel all around.",Positive,Positive,Positive
"looks a little more orange than most pilsners, without much of a head. aroma is yeasty, doughy, and a little floral. absolutely delicious to drink. tons of floral and herbal hops over honey and bread. solid, easy to find and generally cheap.",Positive,Positive,Positive
"heineken is pretty boring. malty and crisp on the nose. clean flavor. there is a slight corn flavor in there. nice palate. heineken is what you drink when the rest of the options are bud light or miller light. a step above those, but still not great.",Negative,Negative,Negative
"clear golden color white a head. average pilsner, neutral taste, some hop. after taste is somewhat watery.",Neutral,Neutral,Neutral
"tap at some restaurant in prague, czech republic, as plzensky prazdroj 12 the classic of all pilseners, but not the best. i actually liked the starobrno better than this one. poured it is a clear light golden beer, with a big foamy long lasting head. the aroma is malty and a little sour, some alcohol. simple and a little too indistinct. clean, fresh, sharp, czech pilsenere with a bitter finish which later are subdued a bit by the alcohol - which is a shame. it could be more creamy or less watery too, but isn t damaging the beer that much.",Neutral,Negative,Neutral
"i was pleasantly surprised by this beer. expectations were not high. while this beer will never be considered a premium offering, i found it quite drinkable. positive characteristics are pretty hard to find with this beer but there are really no negatives. with that in mind i bumped a couple of categories to get it up to a 2 rating. for less than a dollar this is a pretty good bargain for someone wanting to get wasted for little money.",Negative,Negative,Negative
"650 ml can. 5.0 . as sapporo imported. brewed in canada. from copenhagen, denmark. clear golden colour with small white head. malty aroma with some notes of dry papery hops. flavour is paper, malt, some dry hop like flavours and some mild sweetness. low carbonation. watery. this won t be the reason to visit japan. big 650 ml can is probably the thing with this brew.",Negative,Negative,Negative
"great stout. thick mouthfeel, some smoke in finish. opaque black. its the taste, bitter more than sweet.somewhat danish style.very good drinkability. bee-aye 6400.",Positive,Positive,Positive
"why not, you are trying to get drunk so you might as well buy the stuff with more alcohol so you can really fell horrible the next morning.",Negative,Negative,Negative
"october 6, 2013 - bottle shared by brandon. clear golden yellow pour with some head that faded quickly and spotty lacing. aroma was big grapefruit and citrus hops. taste consistent with aroma. thanks brandon!",Positive,Positive,Positive
from a bottle poured a syrupy black with a small brown head. nice rich malty flavor with a lingering coffee finish.,Positive,Positive,Positive
12oz can -pours golden with a decent sized head. aroma of corn and grains. taste of the same. this light bodied brew did nothing for me.,Positive,Negative,Positive
"can. pale yellow gold, white head. not much aroma. tastes a little grainy with a slightly metallic bitter finish.",Negative,Negative,Negative
"this is one of maybe four readily available beers here in korea. the others are ob , cafri, hite, and hite prime. all of them are pretty nasty and watery. a very skunky aroma, full of cheap sugars. available, notably, in the plastic 1.2 liter pitchers .",Negative,Negative,Negative
